,series_max,series_min
X1,14.537216328877099,-12.8015119193595
X2,14.537216328877099,-12.8015119193595
X3,14.537216328877099,-12.8015119193595
X4,14.537216328877099,-12.8015119193595
X5,14.537216328877099,-12.8015119193595
X6,14.537216328877099,-12.8015119193595
X7,14.537216328877099,-12.8015119193595
X8,14.537216328877099,-12.8015119193595
X9,14.537216328877099,-12.8015119193595
X10,13.828039524566698,-13.273814888703
X11,13.828039524566698,-13.273814888703
X12,13.828039524566698,-13.273814888703
X13,13.828039524566698,-13.273814888703
X14,13.828039524566698,-13.273814888703
X15,13.828039524566698,-13.273814888703
X16,13.828039524566698,-13.273814888703
X17,13.828039524566698,-13.273814888703
X18,13.828039524566698,-13.273814888703
X19,13.828039524566698,-13.273814888703
X20,13.828039524566698,-13.273814888703
X21,13.828039524566698,-13.273814888703
X22,13.828039524566698,-13.273814888703
X23,13.828039524566698,-13.273814888703
X24,13.828039524566698,-13.273814888703
X25,13.828039524566698,-13.273814888703
X26,13.828039524566698,-13.273814888703
X27,13.828039524566698,-13.273814888703
X28,13.828039524566698,-13.273814888703
X29,13.828039524566698,-13.273814888703
X30,26.5895440873542,-3.26117555242712
X31,26.5895440873542,-3.26117555242712
X32,26.5895440873542,-3.26117555242712
X33,26.5895440873542,-3.26117555242712
X34,26.5895440873542,-3.26117555242712
X35,26.5895440873542,-3.26117555242712
X36,26.5895440873542,-3.26117555242712
X37,26.5895440873542,-3.26117555242712
X38,26.5895440873542,-3.26117555242712
X39,26.5895440873542,-3.26117555242712
X40,26.5895440873542,-3.26117555242712
X41,26.5895440873542,-3.26117555242712
X42,26.5895440873542,-3.26117555242712
X43,26.5895440873542,-3.26117555242712
X44,26.5895440873542,-3.26117555242712
X45,26.5895440873542,-3.26117555242712
X46,26.5895440873542,-3.26117555242712
X47,26.5895440873542,-3.26117555242712
X48,26.5895440873542,-3.26117555242712
X49,26.5895440873542,-3.26117555242712
Y,43.790112,0.07156512
