,series_max,series_min
X1,40.31917115160151,-29.076373800065024
X2,45.832589450953485,-21.44941367352771
X3,43.47275212145899,-14.122117966867432
X4,28.796752768192828,-23.07298534315155
X5,22.226287291863947,-21.630378654603934
X6,22.251994278064135,-21.38757443721156
X7,16.57404271563713,-13.116842762822284
X8,17.12326347101926,-16.8923644039219
X9,16.113157918693567,-15.430623696049249
X10,17.16326057318091,-16.895236037729916
X11,12.50305152599741,-12.272989054300691
X12,16.117723616573205,-15.228914467531165
X13,16.015823803185867,-14.661189997833727
X14,16.44503712997653,-15.29931081999492
X15,17.429632369641617,-14.527368053533753
X16,16.03596935119958,-14.529824258969983
X17,14.27702888216784,-12.667304786776874
X18,12.904337818587926,-9.939889690549228
X19,15.711408421936591,-14.837759262826346
X20,11.762260718654138,-11.3876591760521
X21,12.868203147647161,-10.740572329547856
X22,11.378031076794693,-11.300393965068286
X23,12.269351616448807,-12.198901726435555
X24,10.032539663736555,-7.512553332010438
X25,8.680135644011145,-6.815204172965206
X26,7.949053284188084,-7.503100495583098
X27,8.225566312937913,-6.2371639646650125
X28,5.9599163345130854,-5.156884888138158
X29,5.4785968182817975,-5.317210598470978
X30,4.095573067513826,-3.8788696445072293
X31,4.007253122463797,-3.910559455616383
X32,3.532373405168526,-3.317031522138753
X33,3.406959008875364,-2.388776951201736
X34,2.8618266181787253,-2.5720228869601773
X35,2.2414349918820373,-1.7523590626230858
X36,1.8024921717815958,-1.75608600630809
X37,1.506453846853774,-1.436107046792829
X38,0.9873834106400543,-0.9572063295690327
X39,0.9087800409882729,-0.750847915584364
X40,0.7577948156606494,-0.5883032140294888
X41,0.5281575719275924,-0.4505716990925038
X42,0.31252341302443404,-0.30362764312889884
X43,0.3422179928312246,-0.28189599378895763
X44,0.27695305561492073,-0.24120456697247883
X45,0.21591435292198946,-0.18832386129284062
Y,43.790112,0.07156512
