,series_max,series_min
X1,23.888608479287015,-21.8868547068284
X2,20.89742261792904,-17.626686335133794
X3,4.968055900553433,-11.50491765104262
X4,14.122303236677771,-12.648066798640532
X5,10.200157551097961,-9.73445042704611
X6,16.41291600291196,-10.579063860720579
X7,7.586548167958204,-6.3962234157403834
X8,11.53879609795882,-11.280480822581515
X9,5.6881287154189035,-5.535471690171892
X10,4.709406912188462,-4.289745481044613
X11,3.9663051384235324,-3.7777750723965755
X12,7.088945058734589,-5.545811260770442
X13,1.899402105086074,-1.65872576655143
X14,1.4053342912398301,-1.4598302320529533
X15,2.6274900972729895,-2.004998124886635
X16,0.5425215894335811,-0.4257427676905398
X17,0.4775107566524289,-0.32775151021685356
X18,0.31633995726160885,-0.31375447504071874
X19,0.8099901712580215,-0.5067752685631999
X20,0.30107272428639587,-0.28308054268322247
X21,0.18393446820502463,-0.13874482842747438
X22,0.07068544877011326,-0.07031545123834386
X23,0.10715809030081182,-0.0624514691097144
X24,0.10021007170943115,-0.08265799491950782
X25,0.048723899394674565,-0.04116146680742178
X26,0.018537815651562612,-0.03421026549741124
Y,43.790112,0.07156512
