,series_max,series_min
X1,11.57715461,-13.45213683
X2,11.57715461,-13.45213683
X3,11.57715461,-13.45213683
X4,11.57715461,-13.45213683
X5,11.57715461,-13.45213683
X6,11.57715461,-13.45213683
X7,8.342583918999999,-8.666903592999999
X8,8.342583918999999,-8.666903592999999
X9,8.342583918999999,-8.666903592999999
X10,8.342583918999999,-8.666903592999999
X11,8.342583918999999,-8.666903592999999
X12,8.342583918999999,-8.666903592999999
X13,4.656407299,-4.216057487
X14,4.656407299,-4.216057487
X15,4.656407299,-4.216057487
X16,4.656407299,-4.216057487
X17,4.656407299,-4.216057487
X18,4.656407299,-4.216057487
X19,2.559999994,-2.430417065
X20,2.559999994,-2.430417065
X21,2.559999994,-2.430417065
X22,2.559999994,-2.430417065
X23,2.559999994,-2.430417065
X24,2.559999994,-2.430417065
X25,1.732940531,-1.490807505
X26,1.732940531,-1.382877746
X27,1.732940531,-1.382877746
X28,1.732940531,-1.382877746
X29,1.732940531,-1.382877746
X30,1.732940531,-1.382877746
X31,2.032471643,-1.7544400080000002
X32,2.032471643,-1.7544400080000002
X33,2.032471643,-1.7544400080000002
X34,2.032471643,-1.7544400080000002
X35,2.032471643,-1.7544400080000002
X36,0.110446592,-0.08634514199999999
X37,0.110446592,-0.08634514199999999
X38,0.110446592,-0.08634514199999999
X39,0.110446592,-0.08634514199999999
X40,0.110446592,-0.08634514199999999
X41,7.272354578,4.562131203
X42,7.272354578,4.5486560439999995
X43,7.272354578,4.53514747
X44,7.272354578,4.521605479
X45,7.272354578,4.5080300730000005
X46,7.272354578,4.4944212519999995
X47,7.272354578,4.4807790139999994
X48,7.272354578,4.467103361
X49,7.272354578,4.453394292
X50,7.272354578,4.439651807
X51,7.272354578,4.425875907
Y,43.790112,0.07156512
