,series_max,series_min
X1,11.57715461,-13.45213683
X2,11.57715461,-13.45213683
X3,11.57715461,-13.45213683
X4,11.57715461,-13.45213683
X5,11.57715461,-13.45213683
X6,11.57715461,-13.45213683
X7,11.57715461,-13.45213683
X8,11.57715461,-13.45213683
X9,11.57715461,-13.45213683
X10,11.57715461,-13.45213683
X11,8.342583918999999,-8.666903592999999
X12,8.342583918999999,-8.666903592999999
X13,8.342583918999999,-8.666903592999999
X14,8.342583918999999,-8.666903592999999
X15,8.342583918999999,-8.666903592999999
X16,8.342583918999999,-8.666903592999999
X17,8.342583918999999,-8.666903592999999
X18,8.342583918999999,-8.666903592999999
X19,8.342583918999999,-8.666903592999999
X20,8.342583918999999,-8.666903592999999
X21,8.342583918999999,-8.666903592999999
X22,4.656407299,-4.216057487
X23,4.656407299,-4.216057487
X24,1.732940531,-1.382877746
X25,1.732940531,-1.382877746
X26,1.732940531,-1.382877746
X27,1.732940531,-1.382877746
X28,1.732940531,-1.382877746
X29,1.732940531,-1.382877746
X30,1.732940531,-1.382877746
X31,1.732940531,-1.382877746
X32,1.732940531,-1.382877746
Y,43.790112,0.07156512
