,series_max,series_min
X1,13.145953318810802,-10.045647761365801
X2,13.145953318810802,-10.045647761365801
X3,13.145953318810802,-10.045647761365801
X4,13.145953318810802,-10.045647761365801
X5,13.145953318810802,-10.045647761365801
X6,13.145953318810802,-10.045647761365801
X7,13.145953318810802,-10.045647761365801
X8,13.145953318810802,-10.045647761365801
X9,13.145953318810802,-10.045647761365801
X10,13.145953318810802,-10.045647761365801
X11,13.145953318810802,-10.045647761365801
X12,13.145953318810802,-10.045647761365801
X13,13.145953318810802,-10.045647761365801
X14,13.145953318810802,-10.045647761365801
X15,13.145953318810802,-10.045647761365801
X16,13.145953318810802,-10.045647761365801
X17,13.145953318810802,-10.045647761365801
X18,13.145953318810802,-10.045647761365801
X19,13.145953318810802,-10.045647761365801
X20,13.145953318810802,-10.045647761365801
Y,13.145953318810802,-10.045647761365801
