,series_max,series_min
X1,13.1480439297016,-11.363890677416501
X2,13.1480439297016,-11.363890677416501
X3,10.9043113412864,-11.363890677416501
X4,10.9043113412864,-11.363890677416501
X5,10.9043113412864,-11.363890677416501
X6,10.9043113412864,-11.363890677416501
X7,10.9043113412864,-11.363890677416501
X8,10.9043113412864,-11.363890677416501
X9,10.9043113412864,-11.363890677416501
X10,13.145953318810802,-10.045647761365801
X11,13.145953318810802,-10.045647761365801
X12,13.145953318810802,-10.045647761365801
X13,13.145953318810802,-10.045647761365801
X14,13.145953318810802,-10.045647761365801
X15,13.145953318810802,-10.045647761365801
X16,13.145953318810802,-10.045647761365801
X17,13.145953318810802,-10.045647761365801
X18,13.145953318810802,-10.045647761365801
X19,13.145953318810802,-10.045647761365801
X20,13.145953318810802,-10.045647761365801
X21,13.145953318810802,-10.045647761365801
X22,13.145953318810802,-10.045647761365801
X23,13.145953318810802,-10.045647761365801
X24,13.145953318810802,-10.045647761365801
X25,13.145953318810802,-10.045647761365801
X26,13.145953318810802,-10.045647761365801
X27,13.145953318810802,-10.045647761365801
X28,13.145953318810802,-10.045647761365801
X29,13.145953318810802,-10.045647761365801
X30,25.6640618003042,-3.8449257038745
X31,25.6640618003042,-3.8449257038745
X32,25.6640618003042,-3.8449257038745
X33,25.6640618003042,-3.8449257038745
X34,25.6640618003042,-3.8449257038745
X35,25.6640618003042,-3.8449257038745
X36,25.6640618003042,-3.8449257038745
X37,25.6640618003042,-3.8449257038745
X38,25.6640618003042,-3.8449257038745
X39,25.6640618003042,-3.8449257038745
X40,25.6640618003042,-3.8449257038745
X41,25.6640618003042,-3.8449257038745
X42,25.6640618003042,-3.8449257038745
X43,25.6640618003042,-3.8449257038745
X44,25.6640618003042,-3.8449257038745
X45,25.6640618003042,-3.8449257038745
X46,25.6640618003042,-3.8449257038745
Y,43.790112,0.07156512
