,series_max,series_min
X1,46.35254111107837,-19.52057569353029
X2,30.62041495255498,-30.570126781501838
X3,45.18067805568419,-12.011510236985396
X4,24.363595739516175,-20.752281568222436
X5,25.60063317653649,-18.67399306960738
X6,22.175944264409726,-20.14574336626029
X7,16.75281977760937,-14.901127098317103
X8,18.235042874832594,-15.009470672555953
X9,14.634361651214991,-14.029623307958783
X10,17.344934112631854,-12.415697357898562
X11,16.79098157059824,-13.920477618873647
X12,15.050754475297339,-14.661876552791675
X13,15.700149466838255,-12.7283811836232
X14,15.544904006936026,-13.347859175260119
X15,12.377315065553635,-10.338970470994973
X16,11.246502943621314,-10.921894856943426
X17,9.508526396947348,-9.499137141765567
X18,8.368178666238908,-7.194724888203641
X19,6.7071037812232355,-6.5097713053191555
X20,7.638522192350915,-7.588448805123149
X21,5.158804800091028,-4.567523045214974
X22,4.454634578440125,-3.5053907983144135
X23,3.5068217688560104,-3.0147229800442767
X24,4.051238265718987,-2.760873042701099
X25,2.387307420603397,-2.0293823255083754
X26,2.1167975126984073,-1.9445429375494243
X27,1.3394382599859922,-1.0549948479289968
X28,1.1210418402411533,-0.9048941883337895
X29,0.7573311742822816,-0.6978562804387141
X30,0.6583381507756001,-0.5605201836635931
X31,0.40364720808668647,-0.37096004446177094
X32,0.2254167347973357,-0.19050475149115853
X33,0.15389249357347465,-0.12377604875180767
X34,0.14535249376163006,-0.1409726228901544
X35,0.08804250666648503,-0.0873285391185527
X36,0.11108129987629778,-0.06654152070736775
X37,0.07224269758094186,-0.04695751443263402
X38,0.03937763450030017,-0.03372157053693627
X39,0.01931855821528685,-0.01775677685360912
X40,0.020528710460971416,-0.014783697871741733
X41,0.015422244091729608,-0.014011449447993925
Y,43.790112,0.07156512
