,series_max,series_min
X1,2.8432376635388112,-2.3839453565854263
X2,2.8432376635388112,-2.3839453565854263
X3,2.8432376635388112,-2.3839453565854263
X4,2.8432376635388112,-2.3839453565854263
X5,2.8432376635388112,-2.3839453565854263
X6,2.8432376635388112,-2.3839453565854263
X7,2.8432376635388112,-2.3839453565854263
X8,2.8432376635388112,-2.3839453565854263
X9,2.8432376635388112,-2.3839453565854263
X10,2.8432376635388112,-2.3839453565854263
X11,2.8432376635388112,-2.3839453565854263
X12,2.8432376635388112,-2.3839453565854263
X13,2.8432376635388112,-2.3839453565854263
X14,2.8432376635388112,-2.3839453565854263
X15,2.8432376635388112,-2.3839453565854263
Y,2.8432376635388112,-2.3839453565854263
