,series_max,series_min
X1,29.19562091808318,-13.39346347896987
X2,15.237743628646747,-12.026752624558656
X3,10.903456693255077,-8.812486432869257
X4,9.155433674197123,-8.181901882793637
X5,8.236011516596404,-8.031200129655186
X6,8.363337935117375,-7.57655201658477
X7,7.5645544848803885,-7.212309603071365
X8,6.706755006847948,-6.910974238205415
X9,8.015069459178507,-6.132660008919496
X10,5.517759699220956,-5.262967004262446
X11,5.402101717036466,-4.80458343180492
X12,4.181918072494465,-3.225234746806718
X13,3.9540845179866544,-3.9323199012804553
X14,5.042178957257279,-4.32757977827257
X15,3.709061347687068,-3.6635379777286627
X16,3.741892598931668,-3.6193450901117394
X17,4.156906146372306,-3.024150390334163
X18,2.30869550131768,-2.742911376444135
X19,2.5789481615740364,-2.527250007493983
X20,1.583908413479107,-2.9120562556909793
X21,1.9589315426268137,-1.9520212341116827
X22,1.4606925074534505,-1.5337599530445172
X23,1.474296725540337,-1.4432448110453207
X24,1.080637256787657,-1.060932653592302
X25,1.5364078412031121,-1.3528615586104917
X26,1.5838361818357205,-1.5807087471706611
X27,0.9075168849699514,-1.044666919177344
X28,0.9362925696411786,-0.937000186444584
X29,1.1629676273928848,-1.1446947998062151
X30,0.7341937711851088,-0.6753326896171592
X31,0.5773684387622916,-0.6482359442006875
X32,0.5343661962562707,-0.5480557476240342
X33,0.5143278594421911,-0.6260816753385774
X34,0.5214724829344692,-0.44564018320137927
X35,0.433784172665139,-0.39861450744378196
X36,0.4349592284920141,-0.36601489400680176
X37,0.23689565759047235,-0.24792878323333722
X38,0.37100287601430293,-0.25785369482373677
X39,0.2473050288750537,-0.19010429772464754
X40,0.360831430798865,-0.276821363805815
X41,0.2710900862873369,-0.15211380203112448
X42,0.14626962862743556,-0.2467691077193172
X43,0.1584051997636488,-0.14650720425149377
X44,0.19731531825881155,-0.15886523696836205
X45,0.18412917319293617,-0.11929076647637782
X46,0.11382572270272114,-0.12323343962295558
X47,0.14103418138190943,-0.12457614746174915
X48,0.15168517212809438,-0.1382468380188833
X49,0.10867372868671994,-0.12373839912484375
X50,0.11832189053303162,-0.10474029767833642
X51,0.12425916452492425,-0.09486182730151221
X52,0.10502773820440425,-0.08844027864438316
X53,0.06405535954828806,-0.07445615247293687
X54,0.030441650669286027,-0.04321362743553741
X55,0.041229192713754935,-0.05736471754450879
X56,0.06622052637995626,-0.049379878539079394
X57,0.08794602541447168,-0.0763273770938049
X58,0.04835944896435692,-0.05044985648521951
X59,0.055067237522444044,-0.043312801534622455
X60,0.04454320826941876,-0.02804644442087827
X61,0.09209090635500682,-0.027774252050591433
X62,0.03994477275989919,-0.020385301291295822
X63,0.05585200970849556,-0.043060931322086646
X64,0.014135488269493233,-0.014690958117955056
X65,0.014983513026392043,-0.01992099856829579
X66,0.027366470338104132,-0.014871304677055545
X67,0.022271126582625013,-0.015175441659770257
X68,0.022390824553824438,-0.01414074958357657
X69,0.02060945147017423,-0.020560623150562476
X70,0.015657081173792494,-0.015421867395558335
X71,0.01644594319520354,-0.012192959166200756
X72,0.010181630227614544,-0.0035441415107432127
X73,0.0037327516306951136,-0.002819841801459
Y,43.790112,0.07156512
