,series_max,series_min
X1,20.766599315961273,-7.079360650555024
X2,15.709971841310862,-6.181021446984898
X3,8.991078779367147,-7.378958751511316
X4,8.551166171014843,-8.490773088708588
X5,7.108348056750813,-6.9889426947789
X6,8.064623832242622,-6.4851496595400135
X7,5.3570537289912235,-5.080479824318223
X8,7.295235963050103,-6.223662152265216
X9,5.5810746930483415,-5.233939340227463
X10,3.292244434087327,-3.693953404502936
X11,4.324557442830765,-3.9540664474770995
X12,4.039956977739925,-3.941070174903482
X13,3.1815624910661517,-3.627711331032283
X14,3.2321665661657435,-3.191871573183388
X15,4.020926097398288,-3.2851622392748943
X16,2.6521528422097767,-2.068673752876858
X17,2.1302845410565223,-1.7897250508099627
X18,2.1723810346500967,-1.8341637794112686
X19,2.1092714687272993,-1.461476989309998
X20,1.7506500555198872,-1.6289781023230117
X21,0.927563309826111,-1.448032053863379
X22,1.6553114989542217,-1.254526260804472
X23,1.1527312021927298,-1.2861651285742257
X24,1.044943640898226,-1.0912064861209623
X25,1.1953831715254044,-0.9398587142008815
X26,0.6734330189862209,-0.8202523245728374
X27,0.5574976750584459,-0.5456955664664982
X28,0.4134895930847976,-0.458249664389657
X29,0.5097906604352165,-0.4388050729228773
X30,0.4184003078819561,-0.4980162363884208
X31,0.3208214458375871,-0.4202934387922674
X32,0.3404290310150147,-0.23542863716415977
X33,0.4399279792361664,-0.33354126065538914
X34,0.5649989173379618,-0.21277343018924516
X35,0.2168158690997711,-0.26415875339596834
X36,0.3590070681007722,-0.22564174406513446
X37,0.14446249915474466,-0.13196127890792372
X38,0.2573258280837286,-0.12244444466375763
X39,0.11992804665673058,-0.11575029593368141
X40,0.1992072923866724,-0.13439206824569058
Y,43.790112,0.07156512
