,series_max,series_min
X1,6.557383023325957,-5.262228088173685
X2,6.557383023325957,-5.262228088173685
X3,6.557383023325957,-5.262228088173685
X4,6.557383023325957,-5.262228088173685
X5,6.557383023325957,-5.262228088173685
X6,5.530063577117222,-6.024301204960607
X7,5.530063577117222,-6.024301204960607
X8,5.530063577117222,-6.024301204960607
X9,5.530063577117222,-6.024301204960607
X10,5.530063577117222,-6.024301204960607
X11,5.530063577117222,-6.024301204960607
X12,5.530063577117222,-6.024301204960607
X13,5.530063577117222,-6.024301204960607
Y,43.790112,0.07156512
