,series_max,series_min
X1,14.861069496616464,1.5942305096833431
X2,14.861069496616464,1.5942305096833431
X3,14.861069496616464,1.5942305096833431
X4,6.557383023325957,-5.262228088173685
X5,6.557383023325957,-5.262228088173685
X6,6.557383023325957,-5.262228088173685
X7,6.557383023325957,-5.262228088173685
X8,5.530063577117222,-6.024301204960607
X9,5.530063577117222,-6.024301204960607
X10,5.530063577117222,-6.024301204960607
X11,4.290595555591239,-3.6343800367342047
X12,4.290595555591239,-3.6343800367342047
X13,4.290595555591239,-3.6343800367342047
X14,4.290595555591239,-3.6343800367342047
X15,3.938498655872337,-3.81343221229821
X16,3.938498655872337,-3.81343221229821
X17,3.938498655872337,-3.81343221229821
X18,3.938498655872337,-3.81343221229821
X19,2.8432376635388112,-2.3839453565854263
X20,2.8432376635388112,-2.3839453565854263
X21,2.8432376635388112,-2.3839453565854263
X22,2.4281449206569468,-2.1830747397618766
X23,2.4281449206569468,-2.1830747397618766
X24,2.4281449206569468,-2.1830747397618766
X25,2.4281449206569468,-2.1830747397618766
X26,2.4281449206569468,-2.1830747397618766
X27,2.138954491419142,-2.1794053024923
X28,2.138954491419142,-2.1794053024923
X29,2.138954491419142,-2.1794053024923
X30,2.138954491419142,-2.1794053024923
X31,2.138954491419142,-2.1794053024923
X32,2.549965549471982,-2.5416262484155805
X33,2.549965549471982,-2.5416262484155805
X34,2.549965549471982,-2.5416262484155805
X35,2.549965549471982,-2.5416262484155805
X36,2.549965549471982,-2.5416262484155805
X37,2.549965549471982,-2.5416262484155805
X38,2.3823692091212743,-2.1888538013890635
X39,2.3823692091212743,-2.1888538013890635
X40,2.3823692091212743,-2.1888538013890635
X41,2.3823692091212743,-2.1888538013890635
X42,2.3823692091212743,-2.1888538013890635
X43,2.3823692091212743,-2.1888538013890635
X44,1.9900199480255771,-1.997393901391396
X45,1.9900199480255771,-1.997393901391396
X46,1.9900199480255771,-1.997393901391396
X47,1.9900199480255771,-1.997393901391396
X48,1.9900199480255771,-1.997393901391396
X49,1.9900199480255771,-1.997393901391396
X50,2.046969627048566,-2.034680995172422
X51,2.046969627048566,-2.034680995172422
X52,2.046969627048566,-2.034680995172422
X53,2.046969627048566,-2.034680995172422
X54,2.046969627048566,-2.034680995172422
X55,2.046969627048566,-2.034680995172422
Y,43.790112,0.07156512
