,series_max,series_min
X1,16.11754402672307,-15.26355698123823
X2,11.54722581756135,-5.8792304794076875
X3,10.631704925748608,-9.26009411318353
X4,8.69201398264983,-8.389282392111333
X5,7.4713244171447295,-7.301275354169386
X6,5.627675940957856,-6.397488169338818
X7,6.380087416373463,-6.273160429518282
X8,5.561893482639453,-5.958081665411319
X9,6.750891020995183,-6.505892571156344
X10,7.013443243694292,-6.174366767071942
X11,7.370147477056139,-6.467338812342863
X12,3.4355811490851744,-4.105840092451366
X13,5.177173644407267,-3.815554692923189
X14,3.7471685979503992,-3.4567580392999617
X15,2.254820046371547,-2.207320852216889
Y,43.790112,0.07156512
