,series_max,series_min
X1,16.11754402672306,-15.26355698123822
X2,11.547225817561165,-5.8792304794076715
X3,10.63170492574841,-9.260094113183744
X4,8.692013982649827,-8.389282392111323
X5,7.471324417144727,-7.301275354169382
X6,5.627675940957897,-6.397488169338813
X7,6.380087416373454,-6.273160429518301
X8,5.561893482639451,-5.958081665411308
X9,6.750891020995174,-6.505892571155992
X10,7.013443243694481,-6.174366767071834
X11,7.370147477056134,-6.467338812342869
X12,3.435581149085182,-4.105840092451363
X13,5.1771736444072705,-3.815554692923181
X14,3.7471685979504037,-3.4567580392999617
X15,2.254820046371549,-2.2073208522168897
X16,0.7906105542611496,-0.6510455256829975
Y,43.790112,0.07156512
