,series_max,series_min
X1,12.235144472721,2.0995749944095503
X2,12.235144472721,2.0995749944095503
X3,12.235144472721,2.0995749944095503
X4,8.9492775608724,-8.90354680582849
X5,8.9492775608724,-8.90354680582849
X6,8.9492775608724,-8.90354680582849
X7,8.9492775608724,-8.90354680582849
X8,3.83907501228791,-4.08104861538621
X9,3.83907501228791,-4.08104861538621
X10,3.83907501228791,-4.08104861538621
X11,3.83907501228791,-4.08104861538621
X12,5.33122449471231,-5.17044366252972
X13,5.33122449471231,-5.17044366252972
X14,5.33122449471231,-5.17044366252972
X15,5.33122449471231,-5.17044366252972
X16,3.77982504922907,-3.6934433336981
X17,3.77982504922907,-3.6934433336981
X18,3.77982504922907,-3.6934433336981
X19,3.77982504922907,-3.6934433336981
X20,3.3788090658170997,-3.7386869632192004
X21,3.3788090658170997,-3.7386869632192004
X22,3.3788090658170997,-3.7386869632192004
X23,3.3788090658170997,-3.7386869632192004
X24,2.30928492040384,-2.51492591578652
X25,2.30928492040384,-2.51492591578652
X26,2.30928492040384,-2.51492591578652
X27,2.30928492040384,-2.51492591578652
X28,3.4280386809769703,-3.58807111667607
X29,3.4280386809769703,-3.58807111667607
X30,3.4280386809769703,-3.58807111667607
Y,43.790112,0.07156512
