,series_max,series_min
X1,13.828039524566698,-13.273814888703
X2,13.828039524566698,-13.273814888703
X3,13.828039524566698,-13.273814888703
X4,13.828039524566698,-13.273814888703
X5,13.828039524566698,-13.273814888703
X6,13.828039524566698,-13.273814888703
X7,26.5895440873542,-3.26117555242712
X8,26.5895440873542,-3.26117555242712
X9,26.5895440873542,-3.26117555242712
X10,26.5895440873542,-3.26117555242712
X11,26.5895440873542,-3.26117555242712
X12,26.5895440873542,-3.26117555242712
X13,26.5895440873542,-3.26117555242712
X14,26.5895440873542,-3.26117555242712
X15,26.5895440873542,-3.26117555242712
X16,26.5895440873542,-3.26117555242712
X17,26.5895440873542,-3.26117555242712
X18,26.5895440873542,-3.26117555242712
X19,26.5895440873542,-3.26117555242712
X20,26.5895440873542,-3.26117555242712
X21,26.5895440873542,-3.26117555242712
Y,43.790112,0.07156512
