,series_max,series_min
X1,23.692755341817556,-11.54399889100924
X2,20.89641303440041,-19.668225197152132
X3,20.552137084293136,-13.94968944989261
X4,14.731287666145455,-13.318873460565252
X5,14.245362162133265,-14.021112350780681
X6,14.6712031494448,-13.813668652092
X7,10.406265988563348,-10.299938690602582
X8,11.26875909339731,-10.71229057673906
X9,9.70637563117651,-9.518312519553545
X10,8.49980864386987,-7.913252808998044
X11,9.258647660546513,-7.837320301608469
X12,10.326136274109446,-9.283264703055805
X13,9.044548678387395,-8.59424212434539
X14,7.891388049065272,-6.813176761671751
X15,7.794847733065639,-6.6520835442324575
X16,9.196537600674814,-8.914118814247352
X17,8.392852005593486,-7.455123066493724
X18,5.378011119535197,-5.225233468864367
X19,4.529329920968231,-4.261227960717854
X20,5.28739689233086,-4.4643086218287955
X21,5.2068792229310334,-3.795048822928091
X22,3.468100368552156,-3.068710921633371
X23,3.7568732979849893,-3.385252438387165
X24,2.720426124472267,-2.6173583524353274
X25,2.367998348461996,-2.1495645127295018
X26,2.106859870426316,-1.6603830825420058
X27,1.6647265066439618,-1.5039815522144389
X28,1.6769284311351167,-1.1064223355548763
X29,1.0526166440290754,-1.0385837025858682
X30,0.6264875647250199,-0.6229228601962754
X31,0.5660886703950708,-0.5550487127552082
X32,0.4971264355549468,-0.4270648414405729
X33,0.47012597703915837,-0.35116060603703964
X34,0.21351155355758192,-0.2120327357990431
X35,0.22879523593100645,-0.14466021653616065
X36,0.20000939065522802,-0.1492600124969257
X37,0.13336725311675396,-0.12068430975436734
X38,0.14782460118300142,-0.11967883724726142
X39,0.06720965083553528,-0.06737676638944222
Y,25.251264000000003,0.05609088
