,series_max,series_min
X1,23.692755341817534,-11.543998891009233
X2,20.896413034400375,-19.66822519715212
X3,20.55213708429313,-13.949689449892588
X4,14.73128766614552,-13.31887346056524
X5,14.245362162133214,-14.021112350780639
X6,14.671203149444795,-13.813668652092057
X7,10.406265988563373,-10.299938690602582
X8,11.268759093397344,-10.71229057673908
X9,9.70637563117652,-9.518312519553552
X10,8.499808643869901,-7.913252808998051
X11,9.258647660546574,-7.837320301608526
X12,10.326136274109471,-9.283264703055863
X13,9.044548678387319,-8.59424212434563
X14,7.8913880490652675,-6.813176761671749
X15,7.794847733065653,-6.652083544232458
X16,9.196537600674828,-8.914118814247358
X17,8.392852005593483,-7.455123066493711
X18,5.378011119535181,-5.225233468864354
X19,4.529329920968233,-4.261227960717844
X20,5.2873968923308485,-4.464308621828816
X21,5.206879222931038,-3.7950488229281025
X22,3.4681003685521397,-3.0687109216333703
X23,3.7568732979849804,-3.385252438387165
X24,2.7204261244722643,-2.6173583524353203
X25,2.367998348461992,-2.1495645127295018
X26,2.106859870426307,-1.6603830825419799
X27,1.6647265066439885,-1.5039815522144337
X28,1.6769284311351127,-1.1064223355548772
X29,1.0526166440290767,-1.0385837025858697
X30,0.6264875647250157,-0.6229228601962737
X31,0.5660886703950726,-0.555048712755208
X32,0.4971264355549378,-0.42706484144057044
X33,0.47012597703915643,-0.3511606060370398
X34,0.21351155355758003,-0.21203273579904686
X35,0.22879523593100606,-0.14466021653615596
X36,0.20000939065522708,-0.14926001249693005
X37,0.13336725311675193,-0.12068430975436788
X38,0.14782460118300172,-0.1196788372472601
X39,0.0672096508355349,-0.06737676638944066
X40,0.07296056956621275,-0.07229484415063447
X41,0.06309840952932605,-0.055974378197106274
X42,0.04407291626857515,-0.038629704506038746
X43,0.017752156704905268,-0.015159421630793106
X44,0.01335754533746399,-0.011656612209315291
X45,0.01330972407775132,-0.011883301404133465
X46,0.009736713167811906,-0.009117012988426106
X47,0.004676567463627578,-0.0035201816545277994
X48,0.0015893298540323912,-0.0013799519916500621
Y,25.251264000000003,0.05609088
