,series_max,series_min
X1,14.0931411172563,-2.34662791612198
X2,14.0931411172563,-2.34662791612198
X3,14.0931411172563,-2.34662791612198
X4,14.0931411172563,-2.34662791612198
X5,14.0931411172563,-2.34662791612198
X6,14.0931411172563,-2.34662791612198
X7,14.0931411172563,-2.34662791612198
X8,14.0931411172563,-2.34662791612198
X9,14.0931411172563,-2.34662791612198
X10,14.0931411172563,-2.34662791612198
X11,14.0931411172563,-2.34662791612198
X12,14.0931411172563,-2.34662791612198
X13,14.0931411172563,-2.34662791612198
Y,25.251264000000003,0.05609088
