,series_max,series_min
X1,23.872176062162985,-10.320182052562254
X2,20.626484144596795,-11.127600856794476
X3,19.3318408105588,-14.32160316257179
X4,14.39253465907434,-13.80831369329386
X5,14.699659816888325,-14.552643950172246
X6,16.44939748837711,-13.835520795222411
X7,11.199198412978445,-10.019698791478477
X8,11.660615765011878,-8.689687297544038
X9,9.284699941407421,-8.32862762083449
X10,9.731081490497724,-9.706212682909873
X11,10.247421721557075,-9.253526673050944
X12,9.253371931831749,-9.074611354787525
X13,9.9228628001727,-7.293020683638317
X14,9.012241525750682,-7.721705264860541
X15,8.415873748301454,-7.155030844765683
X16,7.849118545499238,-7.19850749754839
X17,6.073848375847383,-5.138915277552148
X18,5.5179359135590405,-4.579495749914602
X19,3.936349894484459,-3.555420236075678
X20,5.43285452190609,-4.679695894643245
X21,3.216990174498113,-2.956092195425536
X22,2.888565379905889,-2.3082515058581863
X23,2.4349927079982057,-1.9937178985530646
X24,2.841079857430718,-1.705918175901522
X25,1.3892925571253798,-1.342388214382512
X26,1.2233271755823039,-1.1907485825370179
X27,0.8502406550392628,-0.6950844498011983
X28,0.7018885833360671,-0.544761132959687
X29,0.5417186476601478,-0.44640983491386343
X30,0.3768256558990406,-0.29226192191674655
X31,0.2770606387474897,-0.22026729647483861
X32,0.16736721402651664,-0.12950928267882236
X33,0.09681297633649688,-0.09335460120775058
X34,0.09183595452656682,-0.08702363471886797
X35,0.054606271738131144,-0.05197818904897613
X36,0.06633074556690348,-0.04234515768822403
Y,25.251264000000003,0.05609088
