,series_max,series_min
X1,18.028567736488654,-9.783670179695358
X2,9.31278537153615,-6.488676482848005
X3,6.192650580728234,-4.949363199013186
X4,6.523486087543813,-5.762855938469966
X5,5.414064205192614,-4.6496447249469135
X6,5.293262340796551,-4.951910129120811
X7,5.038709692395667,-4.327459514616108
X8,4.704986897057408,-4.353095418969766
X9,5.220201957694418,-4.371409241512718
X10,3.4997804801427717,-3.271697894953879
X11,3.3066591806744694,-3.139712283307323
X12,3.566831751131504,-2.7308175348572914
X13,2.2307723622020195,-2.4536593084969254
X14,3.0785700628189887,-2.777642606346846
X15,2.566735103210608,-2.483357633993733
X16,2.604307587721292,-2.344447711258884
X17,2.1612584931199703,-1.7964390632016156
X18,1.4998886746605131,-1.4427599026854512
X19,1.4916812473314636,-1.6340869223428258
X20,1.0534206055008803,-1.9105077736801268
X21,1.3278336860037112,-1.174674787613533
X22,1.2951380074420586,-0.9200650245165076
X23,1.1857545647924561,-0.8267328081784443
X24,0.8942605916335143,-0.7903124993436463
X25,0.7972566161288394,-0.7803005863688198
X26,0.7392951882110093,-0.6522068482326239
X27,0.5977898490868566,-0.6891311082598595
X28,0.5422922190509318,-0.5354285897057475
X29,0.5818685721054478,-0.4901220068404807
X30,0.41490058729856416,-0.40090140605356306
X31,0.35960514196232785,-0.36994916738096506
X32,0.34854885375752687,-0.3163356571977218
X33,0.40074856696708744,-0.2890214049904257
X34,0.2695249604975269,-0.26420917593301035
X35,0.29204058621654083,-0.22995045220938665
X36,0.2891752762738857,-0.24329802446863596
X37,0.27076352967224937,-0.2229185422381141
X38,0.2440325823700099,-0.2753154253882295
X39,0.11946586017544272,-0.11834579650543102
X40,0.10072592197003306,-0.11963661031991073
X41,0.20093421927157767,-0.11511496492752363
X42,0.09580056470066282,-0.10722684076297356
X43,0.10812833948567198,-0.07723633805498098
X44,0.11034906648918599,-0.07778636737977503
X45,0.08471559521487572,-0.0838815899950387
X46,0.07872436339585194,-0.0859351502140013
X47,0.10953989459265247,-0.07059555700775354
X48,0.09220213772291166,-0.07412560333632616
X49,0.07238732292158773,-0.06832422115047355
X50,0.05630920389169632,-0.054865780315614496
X51,0.0497113952479397,-0.05251054459651055
X52,0.05327625650784959,-0.037838100663455575
X53,0.044554327721899226,-0.03880472509974373
X54,0.023831791165204987,-0.023372870200642503
X55,0.04441829289784619,-0.026050958443787423
X56,0.06387005133572372,-0.018338165742531023
X57,0.051518900666931225,-0.043134840292054444
X58,0.03274613407022953,-0.027742616376972347
X59,0.07125486965425994,-0.017835287640041317
X60,0.03050305764186315,-0.01889903169775751
X61,0.03600474124423215,-0.02637611962803054
X62,0.028588173779528377,-0.018708910904369172
X63,0.03049111035618651,-0.011920956332698893
Y,25.251264000000003,0.05609088
