,series_max,series_min
X1,9.355583629661846,-5.471860032417552
X2,7.291679735235145,-3.6839897638774692
X3,5.77131933033384,-5.015964571699969
X4,5.87438119683664,-5.636873765935617
X5,4.589840300708109,-4.365262858093235
X6,4.891812349000809,-4.508685362060866
X7,3.7443070594565278,-3.67072067946785
X8,3.336341250876437,-3.137856012302766
X9,4.037477508385707,-3.322286315890124
X10,1.7868833741531032,-2.466717368081425
X11,3.8439659277967926,-3.300029768729948
X12,3.2093801481157302,-2.817240792480808
X13,2.569840688031698,-2.3214002439329415
X14,1.4858798539524987,-1.8655189278293982
X15,1.5956865271033045,-1.3376398745531648
X16,1.6888779811769312,-1.6828573412370447
X17,1.6476399801748551,-1.1217371598257282
X18,1.5377195376347237,-1.5079736334902547
X19,1.0960652026862885,-0.9621732847997796
X20,1.2907899388051216,-0.9973505215687055
X21,0.9057814131301459,-0.8351455245845835
X22,0.7174214560422745,-0.595783347913203
X23,0.6244511216355215,-0.6151403728337033
X24,0.6619281556030435,-0.4383425870342267
X25,0.516825957710249,-0.4217890642558423
X26,0.3511085568063077,-0.30152379337458396
X27,0.3062941358010686,-0.34998529602349326
X28,0.24700215418024105,-0.2967642161807862
X29,0.4120456502524738,-0.26155534243523454
X30,0.2046897649423182,-0.3297492401503654
X31,0.21001580114375534,-0.23370503602546377
X32,0.2611876732495414,-0.2179108949021323
X33,0.11754141438070871,-0.11344486285606749
X34,0.11245909630080135,-0.13879105244169881
X35,0.1087424990130658,-0.17042520844168385
X36,0.0987267010624236,-0.12195697977122093
X37,0.0795013183782689,-0.08122187031275858
X38,0.06523437368718896,-0.0764585351420714
X39,0.0581218131798456,-0.060726489645843464
X40,0.05660663864453622,-0.04560933656513777
Y,25.251264000000006,0.05609088
