,series_max,series_min
X1,8.7689288092287,0.5176815809703464
X2,8.7689288092287,0.5176815809703464
X3,8.7689288092287,0.5176815809703464
X4,8.7689288092287,0.5176815809703464
X5,8.7689288092287,0.5176815809703464
X6,8.7689288092287,0.5176815809703464
X7,8.7689288092287,0.5176815809703464
X8,8.7689288092287,0.5176815809703464
X9,8.7689288092287,0.5176815809703464
X10,8.7689288092287,0.5176815809703464
X11,8.7689288092287,0.5176815809703464
X12,8.7689288092287,0.5176815809703464
X13,8.7689288092287,0.5176815809703464
X14,8.7689288092287,0.5176815809703464
X15,8.7689288092287,0.5176815809703464
X16,8.7689288092287,0.5176815809703464
X17,8.7689288092287,0.5176815809703464
X18,8.7689288092287,0.5176815809703464
X19,8.7689288092287,0.5176815809703464
X20,8.7689288092287,0.5176815809703464
X21,8.7689288092287,0.5176815809703464
X22,8.7689288092287,0.5176815809703464
X23,8.7689288092287,0.5176815809703464
X24,8.7689288092287,0.5176815809703464
X25,8.7689288092287,0.5176815809703464
X26,8.7689288092287,0.5176815809703464
X27,8.7689288092287,0.5176815809703464
X28,8.7689288092287,0.5176815809703464
X29,8.7689288092287,0.5176815809703464
X30,8.7689288092287,0.5176815809703464
X31,3.60941485017995,-2.9207979463384866
X32,3.60941485017995,-2.9207979463384866
X33,3.60941485017995,-2.9207979463384866
X34,3.60941485017995,-2.9207979463384866
X35,3.60941485017995,-2.9207979463384866
X36,3.60941485017995,-2.9207979463384866
X37,3.60941485017995,-2.9207979463384866
X38,3.60941485017995,-2.9207979463384866
X39,3.60941485017995,-2.9207979463384866
X40,3.60941485017995,-2.9207979463384866
X41,3.60941485017995,-2.9207979463384866
X42,3.60941485017995,-2.9207979463384866
X43,3.60941485017995,-2.9207979463384866
X44,3.60941485017995,-2.9207979463384866
X45,3.60941485017995,-2.9207979463384866
X46,3.60941485017995,-2.9207979463384866
X47,3.60941485017995,-2.9207979463384866
X48,3.60941485017995,-2.9207979463384866
X49,3.60941485017995,-2.9207979463384866
X50,3.60941485017995,-2.9207979463384866
X51,3.60941485017995,-2.9207979463384866
X52,3.60941485017995,-2.9207979463384866
X53,3.60941485017995,-2.9207979463384866
X54,3.60941485017995,-2.9207979463384866
X55,3.60941485017995,-2.9207979463384866
X56,3.456255651350764,-3.339691590356912
X57,3.456255651350764,-3.339691590356912
X58,3.456255651350764,-3.339691590356912
X59,3.456255651350764,-3.339691590356912
X60,3.456255651350764,-3.339691590356912
X61,3.456255651350764,-3.339691590356912
X62,3.456255651350764,-3.339691590356912
X63,3.456255651350764,-3.339691590356912
X64,3.456255651350764,-3.339691590356912
X65,3.456255651350764,-3.339691590356912
X66,3.456255651350764,-3.339691590356912
X67,3.456255651350764,-3.339691590356912
X68,3.456255651350764,-3.339691590356912
X69,3.456255651350764,-3.339691590356912
X70,3.456255651350764,-3.339691590356912
X71,3.456255651350764,-3.339691590356912
X72,3.456255651350764,-3.339691590356912
X73,3.456255651350764,-3.339691590356912
X74,3.456255651350764,-3.339691590356912
X75,3.456255651350764,-3.339691590356912
X76,3.456255651350764,-3.339691590356912
X77,3.456255651350764,-3.339691590356912
X78,3.456255651350764,-3.339691590356912
X79,3.456255651350764,-3.339691590356912
X80,3.456255651350764,-3.339691590356912
X81,2.8149674545329937,-2.2888048183741647
X82,2.8149674545329937,-2.2888048183741647
X83,2.8149674545329937,-2.2888048183741647
X84,2.8149674545329937,-2.2888048183741647
X85,2.8149674545329937,-2.2888048183741647
X86,2.8149674545329937,-2.2888048183741647
X87,2.8149674545329937,-2.2888048183741647
X88,2.8149674545329937,-2.2888048183741647
X89,2.8149674545329937,-2.2888048183741647
X90,2.6156611509557797,-2.7174761160441023
X91,2.6156611509557797,-2.7174761160441023
X92,2.6156611509557797,-2.7174761160441023
X93,2.6156611509557797,-2.7174761160441023
X94,2.6156611509557797,-2.7174761160441023
X95,2.6156611509557797,-2.7174761160441023
X96,2.6156611509557797,-2.7174761160441023
X97,2.6156611509557797,-2.7174761160441023
X98,2.6156611509557797,-2.7174761160441023
X99,2.6156611509557797,-2.7174761160441023
X100,1.8350096383578192,-1.585977750944182
X101,1.8350096383578192,-1.585977750944182
X102,1.8350096383578192,-1.585977750944182
X103,1.6776002167631583,-1.5464664277515845
X104,1.6776002167631583,-1.5464664277515845
X105,1.6776002167631583,-1.5464664277515845
X106,1.3180236129440366,-1.2555209237469904
X107,1.3180236129440366,-1.2555209237469904
X108,1.5726325108804078,-1.5944634150479935
X109,1.5726325108804078,-1.5944634150479935
X110,1.5726325108804078,-1.5944634150479935
X111,1.3252448061173474,-1.3859890241117103
X112,1.3252448061173474,-1.3859890241117103
X113,1.3252448061173474,-1.3859890241117103
X114,1.3252448061173474,-1.3859890241117103
X115,1.3252448061173474,-1.3859890241117103
X116,1.3252448061173474,-1.3859890241117103
X117,1.3923724786587677,-1.2868427245163654
Y,25.251264000000003,0.05609088
