,series_max,series_min
X1,8.7689288092287,0.5176815809703464
X2,3.60941485017995,-2.9207979463384866
X3,3.60941485017995,-2.9207979463384866
X4,3.60941485017995,-2.9207979463384866
X5,3.60941485017995,-2.9207979463384866
X6,3.60941485017995,-2.9207979463384866
X7,3.60941485017995,-2.9207979463384866
X8,3.60941485017995,-2.9207979463384866
X9,3.60941485017995,-2.9207979463384866
X10,3.60941485017995,-2.9207979463384866
X11,3.456255651350764,-3.339691590356912
X12,3.456255651350764,-3.339691590356912
X13,3.456255651350764,-3.339691590356912
X14,3.456255651350764,-3.339691590356912
X15,3.456255651350764,-3.339691590356912
X16,3.456255651350764,-3.339691590356912
X17,3.456255651350764,-3.339691590356912
X18,3.456255651350764,-3.339691590356912
X19,3.456255651350764,-3.339691590356912
Y,25.251264000000003,0.05609088
