,series_max,series_min
X1,8.32917195128603,-7.386037558520536
X2,7.141488993489325,-4.286460071196664
X3,5.991130156393417,-5.691845092290907
X4,4.08404947465772,-3.5405382449978213
X5,4.508232660756562,-4.620652309566613
X6,3.3070932700281523,-3.9909307477737554
X7,3.5635565752618734,-3.369722118089958
X8,3.9142135368327757,-3.891125552219142
X9,3.430854259491578,-3.2205729112614754
X10,4.148094210967549,-3.8928344481747565
X11,3.8103475656522,-3.2560299642948425
X12,2.5567715079265847,-2.291062865846265
X13,2.8025424933346472,-2.6472526392139133
X14,2.846058137174717,-2.2772277135254666
X15,1.4863584285931932,-1.467881497083805
X16,0.48876031062982445,-0.41356284817181427
X17,0.39063619899840296,-0.30714406923242527
X18,0.33262224312633154,-0.3088290637470657
X19,0.3401597787535666,-0.3109102801116092
X20,0.3273326988841369,-0.2849316666578343
X21,0.30758045675588885,-0.3031450097387947
X22,0.295115941319409,-0.22398673975769903
X23,0.16201038144957394,-0.12133162783887755
X24,0.12727174166758035,-0.10642953657591973
X25,0.10240278048600192,-0.09373911243678033
X26,0.07285457808332994,-0.07182366659949324
X27,0.0630496041293355,-0.049227557281950496
X28,0.05147003112793702,-0.045256487334524254
X29,0.015956495037742862,-0.015533066175380987
Y,25.251264000000003,0.05609088
