,series_max,series_min
X1,8.987145880934847,-8.320249338206924
X2,7.2309339765658835,-4.292221706105006
X3,5.553424011849332,-5.544084517225916
X4,6.178878269864333,-6.032314435648811
X5,4.929824675208592,-4.743359560109185
X6,3.243138190310529,-3.860768802245842
X7,3.5589347722196996,-3.3752437766916787
X8,3.913446714877824,-3.8909145302788075
X9,3.4402212850570875,-3.215738421672669
X10,4.157224134733843,-3.884276279093009
X11,3.810205382719328,-3.256391941854445
X12,2.5565358723420917,-2.290552347518782
X13,2.8017123275519493,-2.6474774288586014
X14,2.8459757589592805,-2.2771473717121697
X15,1.4861941778729466,-1.467691059164913
X16,0.49956192366789764,-0.4107163551215527
X17,0.38837563721684953,-0.30884261010302627
X18,0.32841821252156883,-0.30900259890043286
X19,0.3629801565667016,-0.2838798459755054
X20,0.33231694560843156,-0.31684648752403727
Y,25.251264000000006,0.05609088
