,series_max,series_min
X1,7.425309964739441,0.7440307109253129
X2,7.425309964739441,0.7440307109253129
X3,7.425309964739441,0.7440307109253129
X4,7.425309964739441,0.7440307109253129
X5,7.425309964739441,0.7440307109253129
X6,7.425309964739441,0.7440307109253129
X7,7.425309964739441,0.7440307109253129
X8,7.425309964739441,0.7440307109253129
X9,7.425309964739441,0.7440307109253129
X10,7.425309964739441,0.7440307109253129
X11,7.425309964739441,0.7440307109253129
X12,7.425309964739441,0.7440307109253129
X13,7.425309964739441,0.7440307109253129
X14,7.425309964739441,0.7440307109253129
X15,7.425309964739441,0.7440307109253129
X16,7.425309964739441,0.7440307109253129
X17,7.425309964739441,0.7440307109253129
X18,7.425309964739441,0.7440307109253129
X19,7.425309964739441,0.7440307109253129
X20,7.425309964739441,0.7440307109253129
X21,4.9755282013943205,-4.958972829088941
X22,4.9755282013943205,-4.958972829088941
X23,4.9755282013943205,-4.958972829088941
X24,4.9755282013943205,-4.958972829088941
X25,4.9755282013943205,-4.958972829088941
X26,4.9755282013943205,-4.958972829088941
X27,4.9755282013943205,-4.958972829088941
X28,4.9755282013943205,-4.958972829088941
X29,4.9755282013943205,-4.958972829088941
X30,4.9755282013943205,-4.958972829088941
X31,4.9755282013943205,-4.958972829088941
X32,4.9755282013943205,-4.958972829088941
X33,4.9755282013943205,-4.958972829088941
X34,4.9755282013943205,-4.958972829088941
X35,4.9755282013943205,-4.958972829088941
X36,4.9755282013943205,-4.958972829088941
X37,4.9755282013943205,-4.958972829088941
X38,2.16641293411984,-2.29486679934013
X39,2.16641293411984,-2.29486679934013
X40,2.16641293411984,-2.29486679934013
X41,2.16641293411984,-2.29486679934013
X42,2.16641293411984,-2.29486679934013
X43,2.16641293411984,-2.29486679934013
X44,2.16641293411984,-2.29486679934013
X45,2.16641293411984,-2.29486679934013
X46,3.7263076452078,-3.6777869940874903
X47,3.7263076452078,-3.6777869940874903
X48,3.7263076452078,-3.6777869940874903
X49,3.7263076452078,-3.6777869940874903
X50,3.7263076452078,-3.6777869940874903
X51,3.7263076452078,-3.6777869940874903
X52,3.7263076452078,-3.6777869940874903
X53,3.7263076452078,-3.6777869940874903
X54,3.7263076452078,-3.6777869940874903
X55,3.7263076452078,-3.6777869940874903
X56,3.7263076452078,-3.6777869940874903
X57,3.7263076452078,-3.6777869940874903
X58,3.7263076452078,-3.6777869940874903
X59,3.7263076452078,-3.6777869940874903
X60,2.57564330860789,-2.4924932830764503
X61,2.57564330860789,-2.4924932830764503
X62,2.57564330860789,-2.4924932830764503
X63,2.57564330860789,-2.4924932830764503
X64,2.57564330860789,-2.4924932830764503
X65,2.57564330860789,-2.4924932830764503
X66,1.87122095130553,-2.02409702933811
X67,1.87122095130553,-2.02409702933811
X68,1.48920783629693,-1.61054141216443
X69,1.48920783629693,-1.61054141216443
X70,2.23169823781683,-2.34411664456344
X71,2.23169823781683,-2.34411664456344
X72,2.23169823781683,-2.34411664456344
X73,2.23169823781683,-2.34411664456344
X74,2.23169823781683,-2.34411664456344
X75,2.23169823781683,-2.34411664456344
X76,2.23169823781683,-2.34411664456344
X77,2.23169823781683,-2.34411664456344
X78,2.23169823781683,-2.34411664456344
Y,25.251264000000003,0.05609088
