,series_max,series_min
X1,7.425309964739441,0.7440307109253129
X2,7.425309964739441,0.7440307109253129
X3,7.425309964739441,0.7440307109253129
X4,4.9755282013943205,-4.958972829088941
X5,4.9755282013943205,-4.958972829088941
X6,4.9755282013943205,-4.958972829088941
X7,4.9755282013943205,-4.958972829088941
X8,2.16641293411984,-2.29486679934013
X9,2.16641293411984,-2.29486679934013
X10,2.16641293411984,-2.29486679934013
X11,2.16641293411984,-2.29486679934013
X12,3.7263076452078,-3.6777869940874903
X13,3.7263076452078,-3.6777869940874903
X14,3.7263076452078,-3.6777869940874903
X15,3.7263076452078,-3.6777869940874903
X16,2.57564330860789,-2.4924932830764503
X17,2.57564330860789,-2.4924932830764503
X18,2.57564330860789,-2.4924932830764503
X19,2.57564330860789,-2.4924932830764503
X20,1.87122095130553,-2.02409702933811
X21,1.87122095130553,-2.02409702933811
X22,1.87122095130553,-2.02409702933811
X23,1.87122095130553,-2.02409702933811
X24,1.48920783629693,-1.61054141216443
X25,1.48920783629693,-1.61054141216443
X26,1.48920783629693,-1.61054141216443
X27,1.48920783629693,-1.61054141216443
X28,2.23169823781683,-2.34411664456344
X29,2.23169823781683,-2.34411664456344
X30,2.23169823781683,-2.34411664456344
Y,25.251264000000003,0.05609088
