,series_max,series_min
X1,8.97542499580121,-8.57964868284274
X2,8.97542499580121,-8.57964868284274
X3,8.97542499580121,-8.57964868284274
X4,8.97542499580121,-8.57964868284274
X5,8.97542499580121,-8.57964868284274
X6,8.97542499580121,-8.57964868284274
X7,8.97542499580121,-8.57964868284274
X8,8.97542499580121,-8.57964868284274
X9,8.97542499580121,-8.57964868284274
X10,8.97542499580121,-8.57964868284274
X11,8.97542499580121,-8.57964868284274
X12,8.97542499580121,-8.57964868284274
X13,8.97542499580121,-8.57964868284274
X14,8.97542499580121,-8.57964868284274
X15,8.97542499580121,-8.57964868284274
X16,8.97542499580121,-8.57964868284274
X17,8.97542499580121,-8.57964868284274
X18,8.97542499580121,-8.57964868284274
X19,8.97542499580121,-8.57964868284274
X20,8.97542499580121,-8.57964868284274
Y,8.97542499580121,-8.57964868284274
