,series_max,series_min
X1,23.69356023018676,-11.543988582209709
X2,20.89690405316481,-19.66941988505916
X3,20.551928282725616,-13.949832492272549
X4,14.736428617082757,-13.316817582001413
X5,14.243039411781867,-14.030854674711104
X6,14.652372877508913,-13.821538797048978
X7,10.46242300922083,-10.335517216295242
X8,11.045687961833984,-10.551617918893024
X9,9.774599918780888,-9.490049693539214
X10,11.829783151028025,-11.012447919227652
X11,8.124142151362518,-7.970229863044366
X12,9.09465615919402,-8.468501941063264
X13,10.113788974871111,-9.331357318254481
X14,10.106654409461257,-9.075404062752067
X15,10.243845173361514,-10.14806353586401
X16,9.81332940759073,-8.38381909108481
X17,7.549305832795904,-7.0778599086513925
X18,8.796289215894594,-7.453337967086608
X19,10.91152581734461,-8.008086758183802
X20,8.198912640490017,-7.743773560302825
X21,8.814909922802501,-6.656930963341434
X22,7.988773859400454,-6.6383067452181646
X23,7.638379895877084,-7.603550220007274
X24,5.993661307843098,-4.493661139869718
X25,5.096080142034006,-4.575759798088406
X26,5.418759392953658,-4.858917354600471
X27,4.635407338100834,-4.252180744522891
X28,4.067279380444252,-3.7456260521057145
X29,3.621917666850295,-3.5936277523716065
X30,2.8584732878035517,-2.672415583442171
X31,2.5310416566491645,-2.141760083005638
X32,2.288253189683633,-2.1581431942372444
X33,1.765620153562911,-1.5220714268422881
X34,2.072301318787882,-1.5196454138482605
X35,1.5359236805994063,-1.0351741703183652
X36,1.053498748088164,-1.0150165646532447
X37,0.8563936920518977,-0.8458049797863946
X38,0.5889317639800075,-0.5785227703055066
X39,0.5137046944608964,-0.48539229620072283
X40,0.4734810154940349,-0.35942348794270035
X41,0.3341926673162951,-0.32490778536160414
X42,0.20222654377468582,-0.19668623762479492
X43,0.2272240310467983,-0.15048660525894036
X44,0.17893581722948437,-0.1583107403105999
X45,0.130566205794165,-0.11666590076707326
X46,0.1264500725590878,-0.11452833710595779
X47,0.06838237006588624,-0.07598265971952849
X48,0.06511046262385595,-0.06084643072988881
X49,0.058237787047668764,-0.04951835726269514
X50,0.04545811280958569,-0.04487320984088716
X51,0.03722694816649626,-0.0372058049422403
X52,0.018355267222587124,-0.0141789668814097
X53,0.012571647445250043,-0.011823118220703302
X54,0.013504748551996265,-0.01138782190954724
X55,0.010298993409751465,-0.009662665998588435
X56,0.010817376425471235,-0.007834224461054813
X57,0.004153454837113529,-0.003801900733123259
X58,0.0021018411741204374,-0.0013576831028626103
X59,0.0015172929936434904,-0.0013216070277572434
Y,25.251264000000006,0.05609088
