,series_max,series_min
X1,7.237076157455907,-6.857376853062865
X2,8.17860478706582,-6.242564736206888
X3,9.421754238054056,-2.782921459674671
X4,7.533325937831402,-6.6056533072092956
X5,4.183681793397309,-4.127884108777765
X6,4.103077064078462,-3.9047729375786693
X7,5.853476872682306,-3.6832166983855723
X8,3.994003860787933,-3.9733428164315283
X9,3.201276660958543,-2.66982674848356
X10,2.5426636189178686,-2.4710906593878694
X11,3.6553889620115836,-3.3542486718117464
X12,4.296108820506768,-4.204951221458825
X13,2.591175278212461,-2.5013942582416147
X14,2.846715487755379,-2.131805218886599
X15,2.417406087806969,-2.212961792999899
X16,2.094373373581722,-1.5457797607278343
X17,1.7178505825754982,-1.2314856702103452
X18,1.5456051568711355,-1.2307466998514662
X19,0.8773382638480781,-0.9615118476714674
X20,1.03372149286451,-1.0019309991022982
X21,1.1962918239492695,-1.074159653415009
X22,0.964696839482293,-0.8393126923868545
X23,0.8168656683569187,-0.6365884168800136
X24,0.5017818138174757,-0.48523530486431665
X25,0.51837312925234,-0.39342854160908114
X26,0.37511474134970774,-0.2549949253871278
X27,0.2873341576311668,-0.24657734825664543
X28,0.22563980016798313,-0.16408160982576223
X29,0.15860013546168394,-0.1325044171455593
X30,0.13565859708010033,-0.130695591330312
X31,0.08336483296388843,-0.0568956676635987
X32,0.060031617675305904,-0.055713786423265944
X33,0.05941866632843861,-0.05599830668111115
Y,8.814528,0.0366336
