,series_max,series_min
X1,2.45869531409415,-2.0686319311827703
X2,2.45869531409415,-2.0686319311827703
X3,2.45869531409415,-2.0686319311827703
X4,2.45869531409415,-2.0686319311827703
X5,2.45869531409415,-2.0686319311827703
X6,2.45869531409415,-2.0686319311827703
X7,2.45869531409415,-2.0686319311827703
X8,2.45869531409415,-2.0686319311827703
X9,2.45869531409415,-2.0686319311827703
X10,2.45869531409415,-2.0686319311827703
X11,2.45869531409415,-2.0686319311827703
X12,2.45869531409415,-2.0686319311827703
X13,2.45869531409415,-2.0686319311827703
X14,2.45869531409415,-2.0686319311827703
X15,2.45869531409415,-2.0686319311827703
X16,2.45869531409415,-2.0686319311827703
X17,2.45869531409415,-2.0686319311827703
X18,2.45869531409415,-2.0686319311827703
X19,1.65859994586532,-1.3850995661446002
X20,1.65859994586532,-1.3850995661446002
X21,1.65859994586532,-1.3850995661446002
X22,1.65859994586532,-1.3850995661446002
X23,1.65859994586532,-1.3850995661446002
X24,1.65859994586532,-1.3850995661446002
X25,1.65859994586532,-1.3850995661446002
X26,1.65859994586532,-1.3850995661446002
X27,1.65859994586532,-1.3850995661446002
X28,1.65859994586532,-1.3850995661446002
X29,1.65859994586532,-1.3850995661446002
X30,1.65859994586532,-1.3850995661446002
X31,1.65859994586532,-1.3850995661446002
X32,1.65859994586532,-1.3850995661446002
X33,1.65859994586532,-1.3850995661446002
X34,1.65859994586532,-1.3850995661446002
X35,1.65859994586532,-1.3850995661446002
X36,1.04931217832949,-1.1811687468436498
X37,1.04931217832949,-1.1811687468436498
X38,1.04931217832949,-1.1811687468436498
X39,1.04931217832949,-1.1811687468436498
X40,1.04931217832949,-1.1811687468436498
X41,1.04931217832949,-1.1811687468436498
X42,1.04931217832949,-1.1811687468436498
X43,1.04931217832949,-1.1811687468436498
X44,1.04931217832949,-1.1811687468436498
X45,1.04931217832949,-1.1811687468436498
X46,1.04931217832949,-1.1811687468436498
X47,1.04931217832949,-1.1811687468436498
X48,1.04931217832949,-1.1811687468436498
X49,0.45789612381524,-0.42421404035589294
X50,0.45789612381524,-0.42421404035589294
X51,0.45789612381524,-0.42421404035589294
X52,0.45789612381524,-0.42421404035589294
Y,8.814528,0.0366336
