,series_max,series_min
X1,2.0490515218603798,-2.20227208042413
X2,2.0490515218603798,-2.20227208042413
X3,2.0490515218603798,-2.20227208042413
X4,2.0490515218603798,-2.20227208042413
X5,2.0490515218603798,-2.20227208042413
X6,2.0490515218603798,-2.20227208042413
X7,2.0490515218603798,-2.20227208042413
X8,2.0490515218603798,-2.20227208042413
X9,2.0490515218603798,-2.20227208042413
X10,2.0490515218603798,-2.20227208042413
X11,2.0490515218603798,-2.20227208042413
X12,2.0490515218603798,-2.20227208042413
X13,2.0490515218603798,-2.20227208042413
X14,2.0490515218603798,-2.20227208042413
X15,2.0490515218603798,-2.20227208042413
X16,2.0490515218603798,-2.20227208042413
X17,2.0490515218603798,-2.20227208042413
X18,2.0490515218603798,-2.20227208042413
X19,2.0490515218603798,-2.20227208042413
X20,2.0490515218603798,-2.20227208042413
Y,2.0490515218603798,-2.20227208042413
