,series_max,series_min
X1,7.824484644239996,-5.51663710376925
X2,7.762124808969887,-6.772440024952866
X3,9.587259695456085,-2.4952584403734654
X4,7.402696740251697,-5.768549184141685
X5,4.059098241613773,-3.882476231249852
X6,3.958922062613657,-3.6971415512648087
X7,4.185982399906765,-3.858023866527896
X8,3.32576135982152,-3.1274523822827183
X9,2.6918900082697954,-2.587321370170611
X10,2.997048729994626,-2.9215635726934126
X11,2.8209425806707076,-2.745594496364027
X12,3.159052354420501,-2.739196450798603
X13,4.345152642008611,-4.283812073160507
X14,3.1228760203675936,-2.473348104229738
X15,2.4505958585421546,-2.3918860915808087
X16,2.0362439335494043,-1.9756384134899352
X17,1.8638914833850473,-1.6559895692731719
X18,1.7261527918506434,-1.419141819865535
X19,1.7241135818732216,-1.2925790045759662
X20,1.4630757423393117,-1.3696922126426676
X21,1.1471036213639927,-0.8330730734314921
X22,0.8856649169128463,-0.8776156375395539
X23,0.8053709790627582,-0.7564435377932915
X24,0.6783271606153619,-0.6357396511983106
X25,0.5025216386836482,-0.4990095923294894
X26,0.4470284599657756,-0.36522957967476577
X27,0.2963010812060574,-0.26515093899761455
X28,0.23737016422509458,-0.2052706775697762
X29,0.1484264151802011,-0.14395376010463115
X30,0.1281227097537662,-0.11511927523533662
X31,0.07722752273767533,-0.06497417592236014
X32,0.053010035715682226,-0.035459242052368306
X33,0.03314443976916703,-0.026809088434249537
X34,0.03605164714130211,-0.02660422133707019
X35,0.022346356856698547,-0.0183631417969258
X36,0.020575422117191947,-0.015403268807478289
X37,0.013639467507782308,-0.012246971311091967
X38,0.008674134589385535,-0.006357940887666117
X39,0.005430047968640551,-0.005148175728074547
X40,0.003967256539412906,-0.003959274981478605
X41,0.003293570523596016,-0.0028878613864588643
X42,0.0015799879676795107,-0.0014556132992827311
X43,0.0013312547357777053,-0.001108712838662106
X44,0.0006404757893090182,-0.000445815631199095
X45,0.00013585329479223832,-0.00012853978703147458
X46,0.00010662607002634999,-0.00010033843901172407
Y,8.814528,0.0366336
