,series_max,series_min
X1,4.571516896303882,-1.8752538184188314
X2,2.8987517700514562,-1.1909031547047912
X3,2.2523159829739106,-1.9491850485616649
X4,1.6290761049295683,-1.5576851779792988
X5,1.4237870540701771,-1.3866800505670474
X6,2.151166655149693,-2.0349787244808546
X7,1.3623478063126142,-1.3297478346202607
X8,1.5754880929075243,-1.3096199511293982
X9,0.8934243561669479,-0.8377736374962406
X10,1.2489739133714632,-1.1632759874189316
X11,1.2928262001333588,-1.0266906212266111
X12,1.1157245829459037,-1.0189625029492688
X13,0.9577999743756221,-0.9082379197004135
X14,0.6169374308636995,-0.6503873228238058
X15,0.563017352542186,-0.6055147478370659
X16,0.6066053770879533,-0.5006200646877926
X17,0.485547708244716,-0.4714190998801612
X18,0.38335610797765113,-0.3926682357593315
X19,0.39099651691407333,-0.28438288130659767
X20,0.38448314961305124,-0.30325338083620407
X21,0.24467352791069658,-0.2932264966149892
X22,0.2822254556417023,-0.18275223368715912
X23,0.23115276963616602,-0.22103081364485913
X24,0.16745875041781377,-0.11121682940057222
X25,0.15311237387301296,-0.1335843088209676
X26,0.11578540754005714,-0.13577430474624055
X27,0.09680925525383222,-0.10852699921419197
X28,0.06338068034155592,-0.06814702479681468
X29,0.07652859195182184,-0.08255390201409694
X30,0.053095279427684904,-0.06945672084972934
X31,0.04055808864563121,-0.04924223436676555
X32,0.035820479099559176,-0.04940294790323513
X33,0.10194230657296427,-0.03918074066358055
X34,0.07802748726294319,-0.04835430078245514
X35,0.03174438274308093,-0.050198794691083175
X36,0.03508892404076729,-0.030526633867896273
X37,0.023820496299614476,-0.029808701411839732
X38,0.019451595780845012,-0.027729206980227836
X39,0.07955070479574937,-0.052751605114839416
X40,0.027503900767690985,-0.025048241060291174
X41,0.022907675699733725,-0.01984015619532446
X42,0.007489752215388173,-0.008636893384711977
X43,0.012751217289041787,-0.011745268381834888
X44,0.025320928505483436,-0.01232775595966321
X45,0.011393747122378515,-0.007208288705879661
X46,0.01052660104037027,-0.009449472084924693
X47,0.004091634236039821,-0.0032120659917958872
Y,8.814528,0.0366336
