,series_max,series_min
X1,3.8555125136504373,-2.9522858001960857
X2,2.241395367529015,-2.1958406447031087
X3,2.359446102549278,-0.7864284881160353
X4,1.7327975811489438,-1.6770428120023704
X5,1.5049868873160872,-1.4320290260920483
X6,1.555379924997936,-1.519288430664168
X7,1.4233773743331264,-1.2911274575855374
X8,1.497374689260664,-1.357796844490509
X9,1.2842187784160382,-1.260849631973205
X10,1.161554498166188,-1.0704028260515477
X11,1.0194837018869185,-0.7691371672755254
Y,8.814528,0.0366336
