,series_max,series_min
X1,3.8555125136504382,-2.9522858001960848
X2,2.2413953675290177,-2.1958406447031016
X3,2.359446102549273,-0.7864284881160326
X4,1.7327975811489427,-1.677042812002368
X5,1.5049868873160979,-1.4320290260920339
X6,1.5553799249979359,-1.5192884306641656
X7,1.4233773743331102,-1.291127457585539
X8,1.4973746892606632,-1.3577968444905142
X9,1.2842187784160584,-1.260849631973221
X10,1.1615544981661863,-1.0704028260515523
X11,1.019483701886916,-0.7691371672755267
X12,0.9064552898094076,-0.8794484504775262
X13,0.5293845863157282,-0.5025836573374064
X14,0.22820256331499544,-0.20295272834903613
X15,0.14642143173394098,-0.13800022478647841
X16,0.12711758635379197,-0.12474786578245846
X17,0.13307144645989907,-0.07898548244441458
X18,0.0927271168318707,-0.08982653535526998
X19,0.10990437486952455,-0.09023674160832526
X20,0.07424130092225738,-0.0713121640816957
Y,8.814528,0.0366336
