,series_max,series_min
X1,2.4215457732778303,0.538462415820395
X2,2.4215457732778303,0.538462415820395
X3,2.4215457732778303,0.538462415820395
X4,2.4215457732778303,0.538462415820395
X5,2.4215457732778303,0.538462415820395
X6,2.4215457732778303,0.538462415820395
X7,2.4215457732778303,0.538462415820395
X8,2.4215457732778303,0.538462415820395
X9,2.4215457732778303,0.538462415820395
X10,2.4215457732778303,0.538462415820395
X11,2.4215457732778303,0.538462415820395
X12,2.4215457732778303,0.538462415820395
X13,2.4215457732778303,0.538462415820395
X14,2.4215457732778303,0.538462415820395
X15,2.4215457732778303,0.538462415820395
X16,2.4215457732778303,0.538462415820395
X17,2.2241435152638,-1.7906522034670902
X18,2.2241435152638,-1.7906522034670902
X19,2.2241435152638,-1.7906522034670902
X20,2.2241435152638,-1.7906522034670902
X21,2.2241435152638,-1.7906522034670902
X22,2.2241435152638,-1.7906522034670902
X23,2.2241435152638,-1.7906522034670902
X24,2.2241435152638,-1.7906522034670902
X25,2.2241435152638,-1.7906522034670902
X26,2.2241435152638,-1.7906522034670902
X27,2.2241435152638,-1.7906522034670902
X28,2.2241435152638,-1.7906522034670902
X29,2.2241435152638,-1.7906522034670902
X30,2.2241435152638,-1.7906522034670902
X31,2.2241435152638,-1.7906522034670902
X32,2.2241435152638,-1.7906522034670902
X33,2.2241435152638,-1.7906522034670902
X34,2.2241435152638,-1.7906522034670902
X35,2.2241435152638,-1.7906522034670902
X36,2.2241435152638,-1.7906522034670902
X37,2.2241435152638,-1.7906522034670902
X38,2.2241435152638,-1.7906522034670902
X39,2.2241435152638,-1.7906522034670902
X40,2.2241435152638,-1.7906522034670902
X41,2.2241435152638,-1.7906522034670902
X42,1.14496129848521,-1.06477700115775
X43,1.14496129848521,-1.06477700115775
X44,1.14496129848521,-1.06477700115775
X45,1.14496129848521,-1.06477700115775
X46,1.14496129848521,-1.06477700115775
X47,1.14496129848521,-1.06477700115775
X48,1.14496129848521,-1.06477700115775
X49,1.14496129848521,-1.06477700115775
X50,1.14496129848521,-1.06477700115775
X51,1.14496129848521,-1.06477700115775
X52,1.14496129848521,-1.06477700115775
X53,1.14496129848521,-1.06477700115775
X54,1.14496129848521,-1.06477700115775
X55,1.14496129848521,-1.06477700115775
X56,1.14496129848521,-1.06477700115775
X57,1.14496129848521,-1.06477700115775
X58,1.14496129848521,-1.06477700115775
X59,1.14496129848521,-1.06477700115775
X60,1.14496129848521,-1.06477700115775
X61,1.14496129848521,-1.06477700115775
X62,1.14496129848521,-1.06477700115775
X63,1.14496129848521,-1.06477700115775
X64,1.14496129848521,-1.06477700115775
X65,1.14496129848521,-1.06477700115775
X66,0.743389499174965,-0.79753213680182
X67,0.743389499174965,-0.79753213680182
X68,0.743389499174965,-0.79753213680182
X69,0.743389499174965,-0.79753213680182
X70,0.743389499174965,-0.79753213680182
X71,0.743389499174965,-0.79753213680182
X72,0.703319796312054,-0.679193392982348
X73,0.703319796312054,-0.679193392982348
X74,0.703319796312054,-0.679193392982348
X75,0.703319796312054,-0.679193392982348
X76,0.703319796312054,-0.679193392982348
X77,0.703319796312054,-0.679193392982348
X78,0.703319796312054,-0.679193392982348
X79,0.7458662522131521,-0.7879346536846641
X80,0.7458662522131521,-0.7879346536846641
X81,0.7458662522131521,-0.7879346536846641
X82,0.7458662522131521,-0.7879346536846641
X83,0.863451001023407,-0.9218461173002769
X84,0.863451001023407,-0.9218461173002769
X85,0.863451001023407,-0.9218461173002769
Y,8.814528,0.0366336
