,series_max,series_min
X1,2.4215457732778303,0.538462415820395
X2,2.4215457732778303,0.538462415820395
X3,2.4215457732778303,0.538462415820395
X4,2.4215457732778303,0.538462415820395
X5,2.4215457732778303,0.538462415820395
X6,2.4215457732778303,0.538462415820395
X7,2.4215457732778303,0.538462415820395
X8,2.4215457732778303,0.538462415820395
X9,2.4215457732778303,0.538462415820395
X10,2.4215457732778303,0.538462415820395
X11,2.4215457732778303,0.538462415820395
X12,2.4215457732778303,0.538462415820395
X13,2.2241435152638,-1.7906522034670902
X14,2.2241435152638,-1.7906522034670902
X15,2.2241435152638,-1.7906522034670902
X16,2.2241435152638,-1.7906522034670902
X17,2.2241435152638,-1.7906522034670902
X18,2.2241435152638,-1.7906522034670902
X19,2.2241435152638,-1.7906522034670902
X20,2.2241435152638,-1.7906522034670902
X21,2.2241435152638,-1.7906522034670902
X22,2.2241435152638,-1.7906522034670902
X23,2.2241435152638,-1.7906522034670902
X24,2.2241435152638,-1.7906522034670902
X25,2.2241435152638,-1.7906522034670902
X26,2.2241435152638,-1.7906522034670902
X27,2.2241435152638,-1.7906522034670902
X28,2.2241435152638,-1.7906522034670902
X29,1.14496129848521,-1.06477700115775
X30,1.14496129848521,-1.06477700115775
X31,1.14496129848521,-1.06477700115775
X32,1.14496129848521,-1.06477700115775
X33,1.14496129848521,-1.06477700115775
X34,1.14496129848521,-1.06477700115775
X35,1.14496129848521,-1.06477700115775
X36,1.14496129848521,-1.06477700115775
X37,1.14496129848521,-1.06477700115775
X38,1.14496129848521,-1.06477700115775
X39,1.14496129848521,-1.06477700115775
X40,1.14496129848521,-1.06477700115775
X41,1.14496129848521,-1.06477700115775
X42,1.14496129848521,-1.06477700115775
X43,1.14496129848521,-1.06477700115775
X44,1.14496129848521,-1.06477700115775
X45,1.14496129848521,-1.06477700115775
X46,1.14496129848521,-1.06477700115775
X47,0.743389499174965,-0.79753213680182
X48,0.743389499174965,-0.79753213680182
X49,0.743389499174965,-0.79753213680182
X50,0.703319796312054,-0.679193392982348
X51,0.703319796312054,-0.679193392982348
X52,0.703319796312054,-0.679193392982348
X53,0.703319796312054,-0.679193392982348
X54,0.703319796312054,-0.679193392982348
X55,0.7458662522131521,-0.7879346536846641
X56,0.7458662522131521,-0.7879346536846641
Y,8.814528,0.0366336
