,series_max,series_min
X1,7.237914915962092,-6.859505421170547
X2,8.178835361541914,-6.242168480775164
X3,9.421541093982157,-2.7828938112175132
X4,7.537467361569823,-6.607088295134883
X5,4.183639823465632,-4.144457891916716
X6,4.099189690298043,-3.924757119743523
X7,5.869285722708063,-3.676059610379093
X8,3.9985801724344614,-3.949005885050629
X9,3.196796749165885,-2.683030126945532
X10,3.5316517594140406,-3.1061392796256073
X11,3.2201366662451503,-3.1382462888689693
X12,3.808866288432216,-3.7467801144082
X13,2.960780389784273,-2.816463912631588
X14,3.4362264208233637,-3.307000662404677
X15,3.230004234569431,-2.9286906119209193
X16,4.4540820245404005,-4.38612866855414
X17,2.8504392679247044,-2.623550364290301
X18,2.6504374387217853,-2.6230016425096894
X19,2.760369226295616,-2.684441343767829
X20,3.0767071719209955,-2.78938853773391
X21,2.5112344212691946,-2.208590970513504
X22,2.496326923897714,-2.292646382203443
X23,2.1847313582358616,-1.9841346056642153
X24,2.5992076220886555,-2.093577811630244
X25,1.739193553857155,-1.244009429305476
X26,1.6388924065442245,-1.3121343791070281
X27,1.2398471820296237,-1.2332593588378913
X28,1.0469479514733289,-0.9499489439090985
X29,1.0242366059655834,-0.9958651714848069
X30,0.977268748538163,-0.7292848982467148
X31,0.9631088593880716,-0.9517467556013668
X32,0.8026996166690511,-0.6289535314082506
X33,0.5655479086347044,-0.46011071426678596
X34,0.5270042917407126,-0.4772414950701412
X35,0.5079844799765368,-0.46880994282744975
X36,0.3632795061258472,-0.2509342836169195
X37,0.2835716312788787,-0.2531002305622908
X38,0.21524840324386468,-0.16875490280839983
X39,0.15873751849531276,-0.12876896639402405
X40,0.14199622470111464,-0.1359199815114657
X41,0.13302875267661013,-0.10105120324693874
X42,0.07162906483218151,-0.06391215381874472
X43,0.056774979900548014,-0.05183706066850051
X44,0.05591385551386265,-0.05283643078065138
X45,0.049661689253009476,-0.04720439368989954
X46,0.04924886847590635,-0.045473601167560815
X47,0.03621923709034458,-0.03319537585042687
Y,8.814528,0.0366336
